Timestamp,Your graduation year?,"Knowledge and Interest Level [whens, whys, and hows... transistors as switches - controlling big loads from tiny computers]","Knowledge and Interest Level [whens, whys, and hows... H-Bridges for switching]","Knowledge and Interest Level [whens, whys, and hows... protection diodes on inductive loads]","Knowledge and Interest Level [whens, whys, and hows... pull-up, pull-down, current limiting, and voltage-dividing resistors]","Knowledge and Interest Level [whens, whys, and hows... different types of motors - ""why a hacked servo isn't the solution to all of your problems""]","Knowledge and Interest Level [whens, whys, and hows... Datasheets: relevant info from 40 pages on a resistor]","Knowledge and Interest Level [whens, whys, and hows... prototyping techniques from breadboard to wirewrap]","Knowledge and Interest Level [whens, whys, and hows... circuit board design and fabrication]","Knowledge and Interest Level [orders of magnitude: estimating power draw for sensing, thinking, and doing.]",Knowledge and Interest Level [orders of magnitude: estimation for prototyping.],"Knowledge and Interest Level [types of microcontrollers: architectures, peripherals, and families]",Knowledge and Interest Level [digital communication: data buses and moving information around],Comments on the above?,"Knowledge and Interest Level [Soldering: Surface Mount, Through-Hole, Freeform. The good, bad, and ugly.]","Knowledge and Interest Level [where to go when it doesn't work: application notes, reference designs, forums and more in the EE world.]","Knowledge and Interest Level [lab equipment: advanced usage. - ""what's the trigger knob do?""]",Classes you've taken or are taking?,Comments.
2/24/2011 0:19:17,2013,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Don't care.,Please teach me!,Don't know. Sounds interesting.,Please teach me!,Please teach me!,Please teach me!,Please teach me!,,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"POE, ModCon, ModCon II"
2/24/2011 0:28:19,2013,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,"Sounds awesome! I think it would be important to make sure that, like Mech Proto, it doesn't require any experience beforehand. The focus should be learning, not stressing out over stuff.",Please teach me!,Please teach me!,Please teach me!,"POE, Mech Proto, ModCon, ModCon II","I would love it if this class actually got offered. Seriously, it's a really cool idea.

Regarding the previous question, I don't think I can really say I'm passionate about circuits and all that other stuff because I've had such limited exposure to them. However, I'm definitely eager to learn."
2/24/2011 0:55:16,2013,"Know it, live it, want more.",Please teach me!,Don't know. Sounds interesting.,Please teach me!,Don't know. Sounds interesting.,Please teach me!,Don't know. Sounds interesting.,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,,"Know it, live it, want more.",Don't know. Sounds interesting.,Please teach me!,"POE, ModCon, ModCon II"
2/24/2011 1:07:01,2013,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,"How much of this is covered in circuits, out of curiosity?
especially useful, the stuff on where to go when it doesn't work",Please teach me!,Please teach me!,Don't know. Sounds interesting.,"POE, ModCon, ModCon II"
2/24/2011 9:50:55,2013,Please teach me!,"Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.",Please teach me!,Please teach me!,Please teach me!,"Know it, live it, want more.",Please teach me!,"It sounds good, and useful to any of us who are in between doing classes like PoE or Computing & Craft, but also cannot just sit there and prototype in the space of a few hours.  ","Know it, live it, want more.",Please teach me!,Please teach me!,"POE, ModCon, ModCon II"
2/24/2011 21:20:54,2013,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,"ModCon, ModCon II",Bioengineering! :D
2/24/2011 21:50:13,2013,Don't know. Sounds interesting.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Sounds interesting.,Please teach me!,Please teach me!,Please teach me!,Don't know. Sounds interesting.,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"Know it, live it, want more.",I'd take this class!,"Know it, live it, want more.",Please teach me!,Please teach me!,"POE, Mech Proto, ModCon, ModCon II",You're awesome. Keep doing what you're doing.
2/24/2011 21:53:26,2013,Please teach me!,Don't know. Sounds interesting.,Please teach me!,Don't know. Sounds interesting.,"Know it, useless.","Know it, useless.",Don't know. Sounds interesting.,"Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.",Please teach me!,"Know it, useless.",,Don't know. Sounds interesting.,"Know it, useless.",Don't know. Sounds interesting.,"POE, ModCon, ModCon II, Relevant IS","Intersection of electrical engineering, physics, and materials science. The really low level ""this is how all this electronics stuff works."""
2/24/2011 21:58:26,2013,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,,Please teach me!,Please teach me!,Please teach me!,"POE, ModCon, ModCon II"
2/24/2011 22:31:43,2013,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,,Please teach me!,Please teach me!,Please teach me!,"POE, ModCon, ModCon II"
2/24/2011 22:34:51,2013,Please teach me!,"Know it, live it, want more.",Please teach me!,Please teach me!,Please teach me!,"Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.",Please teach me!,Please teach me!,Please teach me!,Make this class happen.,"Know it, live it, want more.",Please teach me!,"Know it, live it, want more.","POE, ModCon, ModCon II"
2/24/2011 22:53:44,2013,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,,Please teach me!,Please teach me!,Please teach me!,"POE, ModCon"
2/24/2011 22:58:49,2013,"Know it, live it, want more.",Don't know. Sounds interesting.,Don't know. Don't care.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"POE, ModCon, ModCon II"
2/24/2011 23:51:11,2013,"Know it, live it, want more.","Know it, live it, want more.",Don't know. Sounds interesting.,"Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, useless.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.",,"Know it, useless.","Know it, live it, want more.","Know it, live it, want more.","POE, ModCon, ModCon II"
2/25/2011 0:27:47,2013,"Know it, useless.",Don't know. Sounds interesting.,Don't know. Don't care.,Don't know. Sounds interesting.,Please teach me!,Don't know. Don't care.,Please teach me!,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Please teach me!,Don't know. Sounds interesting.,"The options are really limiting, if I know the topic I either think it's useless or love it, some of my answers are a little misleading because of this.  Also I'm currently in circuits and so far it seems to be completely not spiral learning, which I kinda want (i.e. ideally I think we'd build lots of circuits and the understanding as to why it works would become apparent as we became more proficient).",Don't know. Sounds interesting.,Don't know. Don't care.,Don't know. Sounds interesting.,"ModCon, ModCon II","As someone who would like to learn to build circuits but it's not their main passion and is also in circuits currently, I wouldn't mind answering more questions about what I think would make for a good class.  Especially as circuits [class] progresses I'll have more to say about what's missing from the perspective of what I'd like to learn."
2/25/2011 2:06:18,2013,Don't know. Don't care.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"Know it, live it, want more.",Please teach me!,"Know it, live it, want more.","Know it, live it, want more.",Please teach me!,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,,"Know it, live it, want more.",Please teach me!,Please teach me!,"ModCon, ModCon II"
2/25/2011 9:02:42,2013,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Please teach me!,Please teach me!,Please teach me!,Don't know. Sounds interesting.,,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Please teach me!,"POE, ModCon, ModCon II"
2/23/2011 23:13:04,2014,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Please teach me!,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,,Please teach me!,Please teach me!,Don't know. Sounds interesting.,"ModCon, ModCon II"
2/23/2011 23:13:58,2014,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"Know it, live it, want more.",Please teach me!,Don't know. Don't care.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Don't care.,Don't know. Sounds interesting.,Please teach me!,Please teach me!,,Please teach me!,Don't know. Don't care.,Don't know. Sounds interesting.,"ModCon, ModCon II"
2/23/2011 23:16:07,2014,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"Know it, live it, want more.","Know it, useless.",Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,"Know it, live it, want more.",Don't know. Don't care.,,"Know it, useless.",Don't know. Sounds interesting.,Please teach me!,"ModCon, ModCon II"
2/23/2011 23:16:28,2014,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Please teach me!,Don't know. Sounds interesting.,Please teach me!,"Know it, live it, want more.",Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,,Please teach me!,Don't know. Sounds interesting.,Please teach me!,"ModCon, ModCon II","Even as a MechE, all of this stuff is INCREDIBLY important---you can't hardly get anything these days that's mechanical but doesn't have any sort of integrated electronics"
2/23/2011 23:18:16,2014,Please teach me!,Please teach me!,Please teach me!,"Know it, live it, want more.",Please teach me!,Don't know. Sounds interesting.,Please teach me!,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Please teach me!,Please teach me!,,Please teach me!,Please teach me!,Please teach me!,"ModCon, ModCon II","Don't think I can be much help with setting this up, but if you need someone who doesn't know things to test ideas on or to beg for this class to happen, I'd love to help."
2/23/2011 23:21:20,2014,Please teach me!,Please teach me!,Please teach me!,"Know it, live it, want more.",Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Please teach me!,Don't know. Sounds interesting.,Please teach me!,Please teach me!,,"Know it, live it, want more.",Don't know. Sounds interesting.,Don't know. Sounds interesting.,"ModCon, ModCon II"
2/23/2011 23:22:38,2014,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"Know it, live it, want more.",Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,ModCon
2/23/2011 23:23:00,2014,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Don't know. Don't care.,Please teach me!,Please teach me!,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,,Please teach me!,Please teach me!,Please teach me!,ModCon
2/23/2011 23:23:54,2014,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Please teach me!,Don't know. Sounds interesting.,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,,Please teach me!,Please teach me!,Please teach me!,"ModCon, ModCon II"
2/23/2011 23:24:15,2014,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"Know it, live it, want more.",Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"POE, ModCon, ModCon II",Design
2/23/2011 23:27:23,2014,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,,Please teach me!,Please teach me!,Please teach me!,"ModCon, ModCon II"
2/23/2011 23:30:05,2014,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Don't care.,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"ModCon, ModCon II"
2/23/2011 23:31:32,2014,Please teach me!,Please teach me!,Don't know. Sounds interesting.,"Know it, live it, want more.",Don't know. Sounds interesting.,"Know it, live it, want more.",Please teach me!,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Please teach me!,Please teach me!,Most of the stuff sounds useful and I want to learn about it but I'm mostly interested in project bases learning.,"Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","ModCon, ModCon II"
2/24/2011 0:26:12,2014,Please teach me!,Please teach me!,Don't know. Sounds interesting.,Please teach me!,Don't know. Don't care.,Don't know. Sounds interesting.,Please teach me!,Please teach me!,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,,"Know it, live it, want more.",Don't know. Sounds interesting.,Don't know. Sounds interesting.,"ModCon, ModCon II"
2/24/2011 0:29:46,2014,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Don't care.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"ModCon, ModCon II"
2/24/2011 10:11:04,2014,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"ModCon, ModCon II"
2/24/2011 11:17:55,2014,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,,Please teach me!,Please teach me!,Please teach me!,"ModCon, ModCon II"
2/24/2011 11:19:15,2014,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Don't care.,Please teach me!,Don't know. Sounds interesting.,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,,Please teach me!,Don't know. Sounds interesting.,Please teach me!,"ModCon, ModCon II"
2/24/2011 11:45:04,2014,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Please teach me!,"ModCon, ModCon II",Nanotech!
2/24/2011 21:21:49,2014,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.",Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"Know it, live it, want more.",Don't know. Sounds interesting.,,"Know it, live it, want more.",Don't know. Don't care.,Don't know. Don't care.,"ModCon, ModCon II"
2/24/2011 21:22:43,2014,"Know it, live it, want more.",Please teach me!,Please teach me!,Please teach me!,"Know it, live it, want more.",Please teach me!,Please teach me!,Please teach me!,"Know it, live it, want more.",Please teach me!,Please teach me!,Please teach me!,People need to know more about connectors in general... what connect to use for what and when NOT to use that connector,"Know it, live it, want more.",Don't know. Sounds interesting.,Please teach me!,"POE, ModCon, ModCon II","Kinda want to check them all, but I'll stick to saying I'm mech for right now.

Let me know how I can help out."
2/24/2011 21:23:29,2014,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,"ModCon, ModCon II"
2/24/2011 21:27:57,2014,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"ModCon, ModCon II","I'm a bio person, really, but i'm very interested in robotics and electrical engineering as far as the overlap goes and beyond."
2/24/2011 21:32:37,2014,Please teach me!,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"Know it, live it, want more.",Don't know. Don't care.,"Know it, live it, want more.",Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Please teach me!,Don't know. Sounds interesting.,,Don't know. Sounds interesting.,Don't know. Don't care.,Please teach me!,"POE, ModCon, ModCon II"
2/24/2011 21:33:48,2014,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"The oscilloscope was really difficult to use last semester. I didn't understand the difference between the oscilloscope and the signal generator. I also didn't understand that the SMU board was a signal generator, and simulink took up a lot of time and energy. 

I wish we could have focused more on the circuits and the theory.",Don't know. Sounds interesting.,Please teach me!,Don't know. Don't care.,"ModCon, ModCon II","Bio Tech, 

Politics, 

Environmental solutions to social, political and economic issues, 

Painting and visual arts in general"
2/24/2011 21:34:49,2014,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Don't care.,Don't know. Don't care.,Please teach me!,Don't know. Don't care.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Don't care.,Don't know. Don't care.,,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,ModCon
2/24/2011 21:37:48,2014,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Everything sounds completely useful!,Please teach me!,Please teach me!,Please teach me!,"POE, ModCon, ModCon II","Just as a note, I've heard most (but not all) of these terms before, but I have no clue what about 75% of them mean.  I honestly think this is pretty worrisome since I am one and a half semesters into the ECE curriculum...  At any rate, I think even as a potential future mechE I would take this class so I could know the electrical theory behind circuitry and therefore could build a better device around this knowledge.  After all, building a cool robot isn't enough: it's only cool if it is designed well mechanically, has good code, and is electrically efficient."
2/24/2011 21:56:09,2014,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"Know it, live it, want more.",Don't know. Sounds interesting.,Don't know. Sounds interesting.,Please teach me!,Don't know. Sounds interesting.,Please teach me!,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,,"Know it, useless.",Please teach me!,"Know it, useless.","ModCon, ModCon II"
2/24/2011 22:04:57,2014,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,,Please teach me!,Please teach me!,Please teach me!,"ModCon, ModCon II"
2/24/2011 22:55:57,2014,Don't know. Sounds interesting.,Don't know. Don't care.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Please teach me!,Don't know. Don't care.,,Please teach me!,Don't know. Don't care.,Don't know. Sounds interesting.,"ModCon, ModCon II",Sustainable Engineering
2/24/2011 23:17:09,2014,Don't know. Sounds interesting.,Don't know. Don't care.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"ModCon, ModCon II"
2/25/2011 2:04:45,2014,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,ModCon,Informatics and data mining.
2/25/2011 2:42:55,2014,Please teach me!,Please teach me!,Please teach me!,"Know it, live it, want more.","Know it, live it, want more.","Know it, useless.","Know it, useless.",Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,,"Know it, useless.","Know it, live it, want more.","Know it, live it, want more.","ModCon, ModCon II","I love all of this stuff but have no good way to learn. The internet isn't ALWAYS the best place, but it does alright most of the time. Having someone here to ask questions would be nice- course style or even if you just set up an unofficial ninja system. We know who the circuit gurus are but it's hard to approach you sometimes."
2/25/2011 17:13:47,2014,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"Know it, useless.",Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"Know it, useless.",Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Most of the topics I don't know but sound interesting. Some of them I know but I don't find them usless.. im just not interesting in EE.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"ModCon, ModCon II",bioE
2/27/2011 19:23:18,2014,Don't know. Sounds interesting.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Please teach me!,Don't know. Don't care.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Sounds interesting.,,Don't know. Sounds interesting.,Don't know. Don't care.,Don't know. Don't care.,"ModCon, ModCon II"
2/28/2011 15:33:16,2014,Don't know. Sounds interesting.,Please teach me!,Don't know. Sounds interesting.,Please teach me!,Please teach me!,Please teach me!,Don't know. Sounds interesting.,Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,,Please teach me!,Don't know. Sounds interesting.,Please teach me!,"ModCon, ModCon II"
2/28/2011 16:06:37,2014,Please teach me!,Please teach me!,Please teach me!,"Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.",Please teach me!,"Know it, live it, want more.","Know it, live it, want more.",Please teach me!,Please teach me!,,"Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","ModCon, ModCon II"
3/1/2011 17:19:56,2012,Don't know. Sounds interesting.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,"POE, ModCon, SCOPE",non-engineering